Date,ID,tank,SDR_position,number_indivs,b1.Lz,b1.Leq,b1.Lpc,ci.Lz,ci.Leq,ci.Lpc,alpha,Notes
20180719,H3_T_blank_C4,H3_T_blank,C4,NA,-1.716554154,-1.716554154,-1.259561226,0.102251053,0.102251053,0.038561911,0.2,good
20180719,H3_T_blank_C5,H3_T_blank,C5,NA,-0.742710227,-0.551704033,-0.577085525,0.113928807,0.088127669,0.053579617,0.2,good - Lz is at the center of density peak!
20180719,H3_T_blank_C6,H3_T_blank,C6,NA,-0.640392469,-0.643898381,-0.76183658,0.082349835,0.072755761,0.055008808,0.2,good - not on peak because O2 decline has curvature
20180719,H2_B_blank_D1,H2_B_blank,D1,NA,-0.946259597,-0.741221001,-0.754162634,0.142274212,0.114575475,0.0662116,0.2,good - not on peak because O2 decline has curvature
20180719,H2_B_blank_D2,H2_B_blank,D2,NA,-1.087300702,-1.087300702,-0.980812082,0.136901546,0.136901546,0.03713793,0.2,good
20180719,H2_B_blank_D3,H2_B_blank,D3,NA,-1.113333357,-1.12827278,-1.1795431,0.107508504,0.096316732,0.046921833,0.2,good
20180719,H3_B_blank_D4,H3_B_blank,D4,NA,-1.123414974,-0.951729117,-0.823193707,0.128399174,0.052323296,0.039536147,0.2,good - Leq at center of density peak
20180719,H3_B_blank_D5,H3_B_blank,D5,NA,-1.166474899,-0.839335862,-0.693294494,0.10612034,0.062482486,0.040843681,0.2,good - Leq closest to center of density peak
20180719,H3_B_blank_D6,H3_B_blank,D6,NA,-1.560354778,-0.676033613,-0.756255859,0.154001499,0.072488849,0.062666739,0.2,good - not on peak because O2 decline has curvature
20180722,H0_T_A1,H0_T,A1,NA,-1.041152973,-1.041152973,-1.07188881,0.362607011,0.362607011,0.193399894,0.2,good - on the slowest rate of three peaks
20180722,H0_T_A2,H0_T,A2,NA,-1.246165735,-1.246165735,-1.296270287,0.228830818,0.228830818,0.138872193,0.2,good - on second of two peaks - obvious break and slower resp than initially
20180722,H0_T_A3,H0_T,A3,NA,-1.644422551,-1.268365405,-1.453097096,0.14681731,0.150416656,0.090650009,0.2,"several peaks, data not on a particular peak - data is a bit noisy"
20180722,H1_T_A4,H1_T,A4,NA,-4.008135837,-1.807761806,-1.966004797,0.665980789,0.119147054,0.101444355,0.2,good - on third/slowest peak
20180722,H1_T_A5,H1_T,A5,NA,-4.066609396,-4.066609396,-4.255257741,0.377023577,0.377023577,0.195709306,0.2,good - on first of three peaks
20180722,H1_T_A6,H1_T,A6,NA,-3.206290405,-3.206290405,-3.148749067,0.14718826,0.14718826,0.119729464,0.2,REDONE
20180722,H0_B_B1,H0_B,B1,NA,-5.904786234,-5.904786234,-4.624834525,0.214566109,0.214566109,0.168576756,0.2,"good - from faster rate at start of trial, obvious break at 20 mins"
20180722,H0_B_B2,H0_B,B2,NA,-2.894926248,-1.346786646,-1.956309462,0.311553387,0.192634102,0.148340212,0.2,check this - near to third/slowest peak density
20180722,H0_B_B3,H0_B,B3,NA,-2.980968573,-2.980968573,-2.973365206,0.170436701,0.170436701,0.167120651,0.2,good -  thirs slowest peak -obvious break in resp
20180722,H1_B_B4,H1_B,B4,NA,-2.02455396,-2.02455396,-3.833817415,0.393434171,0.393434171,0.228584585,0.4,"good - on faster/earlier of two peaks, obvious break after 20 mins"
20180722,H1_B_B5,H1_B,B5,NA,-6.862429829,-6.862429829,-3.500619179,0.179516499,0.179516499,0.167862653,0.2,good - on slower/later of three peaks - 15 - 30 mins
20180722,H1_B_B6,H1_B,B6,NA,-2.808655203,-2.808655203,-2.647537146,0.184430004,0.184430004,0.108229333,0.2,REDONE
20180722,H0_T_blank_C1,H0_T_blank,C1,NA,-1.949169361,-1.024496528,-1.209956862,0.36494249,0.177218141,0.085233269,0.2,good
20180722,H0_T_blank_C2,H0_T_blank,C2,NA,-1.13927022,-1.13927022,-1.201971833,0.241996945,0.241996945,0.093631275,0.2,good
20180722,H0_T_blank_C3,H0_T_blank,C3,NA,-1.414676981,-1.414676981,-1.231837607,0.423599108,0.423599108,0.119709435,0.2,good
20180722,H1_T_blank_C4,H1_T_blank,C4,NA,-1.014667152,-1.016435921,-1.028066263,0.207092028,0.179663603,0.074347726,0.2,good
20180722,H1_T_blank_C5,H1_T_blank,C5,NA,-0.889166101,-0.889166101,-1.065449868,0.316264712,0.316264712,0.127091464,0.2,good
20180722,H1_T_blank_C6,H1_T_blank,C6,NA,-1.393134175,-1.356274628,-2.732699526,0.294766617,0.273844138,0.187167219,0.2,"Leq on strongest peak , Lpc is at 5-10 mins, most blank files are after 15 mins"
20180722,H0_B_blank_D1,H0_B_blank,D1,NA,-1.304799664,-1.304799664,-1.996261093,0.154927983,0.154927983,0.164358464,0.3,good
20180722,H0_B_blank_D2,H0_B_blank,D2,NA,-2.165029483,-2.165029483,-1.986152068,0.206170773,0.206170773,0.167598708,0.3,good
20180722,H0_B_blank_D3,H0_B_blank,D3,NA,-1.864059345,-1.864059345,-2.102115011,0.427905236,0.427905236,0.128358634,0.2,good - at start of trial 
20180722,H1_B_blank_D4,H1_B_blank,D4,NA,-1.464123077,-1.464123077,-0.976080562,0.34810114,0.34810114,0.091722341,0.2,REDONE
20180722,H1_B_blank_D5,H1_B_blank,D5,NA,-1.659554931,-1.659554931,-1.597105982,0.132452284,0.132452284,0.094932845,0.2,good
20180722,H1_B_blank_D6,H1_B_blank,D6,NA,-0.575899041,-0.965169637,-1.230717303,0.331475715,0.283029158,0.126467252,0.2,good
20180722,H2_T_A1,H2_T,A1,NA,-1.311667572,-1.041228958,-2.328735525,0.223855653,0.108301998,0.080212016,0.2,START HERE
